No,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）
1,天智天皇,秋の田のかりほの庵の苫をあらみ,わが衣手は露にぬれつつ,あきのたのかりほのいほのとまをあらみ,わがころもではつゆにぬれつつ
2,持統天皇,春過ぎて夏来にけらし白妙の,衣干すてふ天の香具山,はるすぎてなつきにけらししろたへの,ころもほすてふあまのかぐやま
3,柿本人麻呂,あしびきの山鳥の尾のしだり尾の,ながながし夜をひとりかも寝む,あしびきのやまどりのをのしだりをの,ながながしよをひとりかもねむ
4,山辺赤人,田子の浦にうち出でてみれば白妙の,富士の高嶺に雪は降りつつ,たごのうらにうちいでてみればしろたへの,ふじのたかねにゆきはふりつつ
5,猿丸大夫,奥山に紅葉踏み分け鳴く鹿の,声聞く時ぞ秋は悲しき,おくやまにもみぢふみわけなくしかの,こゑきくときぞあきはかなしき
6,中納言家持,かささぎの渡せる橋に置く霜の,白きを見れば夜ぞ更けにける,かささぎのわたせるはしにおくしもの,しろきをみればよぞふけにける
7,安倍仲麻呂,天の原ふりさけみれば春日なる,三笠の山に出でし月かも,あまのはらふりさけみればかすがなる,みかさのやまにいでしつきかも
8,喜撰法師,わが庵は都の辰巳しかぞ住む,世をうぢ山と人はいふなり,わがいほはみやこのたつみしかぞすむ,よをうぢやまとひとはいふなり
9,小野小町,花の色は移りにけりないたづらに,わが身世にふるながめせしまに,はなのいろはうつりにけりないたづらに,わがみよにふるながめせしまに
10,蝉丸,これやこの行くも帰るも別れては,知るも知らぬも逢坂の関,これやこのゆくもかへるもわかれては,しるもしらぬもあふさかのせき
11,参議篁,わたの原八十島かけて漕ぎ出でぬと,人にはつげよ海人の釣船,わたのはらやそしまかけてこぎいでぬと,ひとにはつげよあまのつりぶね
12,僧正遍昭,天つ風雲の通ひ路吹きとぢよ,乙女の姿しばしとどめむ,あまつかぜくものかよひぢふきとぢよ,をとめのすがたしばしとどめむ
13,陽成院,筑波嶺の峰より落つるみなの川,恋ぞつもりて淵となりぬる,つくばねのみねよりおつるみなのがは,こひぞつもりてふちとなりぬる
14,河原左大臣,陸奥のしのぶもぢずりたれゆえに,乱れそめにしわれならなくに,みちのくのしのぶもぢずりたれゆゑに,みだれそめにしわれならなくに
15,光孝天皇,君がため春の野に出でて若菜摘む,わが衣手に雪は降りつつ,きみがためはるののにいでてわかなつむ,わがころもでにゆきはふりつつ
16,中納言行平,立ち別れいなばの山の峰に生ふる,まつとし聞かば今帰り来む,たちわかれいなばのやまのみねにおふる,まつとしきかばいまかへりこむ
17,在原業平朝臣,ちはやぶる神代も聞かず竜田川,から紅に水くくるとは,ちはやぶるかみよもきかずたつたがは,からくれなゐにみづくくるとは
